GV_KEY,Year,Avg_Shadow_Links,Std_Shadow_Links,Min_Shadow_Links,Max_Shadow_Links,Num_Observations
7065,2010,1.988888888888889,2.305316008192362,0,7,90
174022,2006,1.8555555555555556,1.8636747022362312,0,6,90
5047,2009,1.4444444444444444,1.2817746748565524,0,5,90
4598,2000,1.4,1.981940939493518,0,7,90
2230,1999,1.2555555555555555,0.8939385283029919,0,4,90
4885,2000,1.2555555555555555,0.8421629604388221,0,4,90
3413,1998,1.2333333333333334,0.6189879380211946,0,3,90
10035,1993,1.211111111111111,0.6949972830671078,0,3,90
31122,2013,1.1666666666666667,1.0412827007692715,0,4,90
3231,2003,1.1555555555555554,1.1209056441873402,0,4,90
4764,2003,1.1222222222222222,0.716228853291419,0,3,90
10453,1997,1.0777777777777777,0.5452095314725243,0,2,90
12138,1998,1.0666666666666667,0.7614297609752829,0,3,90
29356,2000,1.0333333333333334,0.9881318203468717,0,3,90
11264,2004,1.0222222222222221,0.2989787027016532,0,2,90
7152,2006,1.0222222222222221,0.7340480004171079,0,3,90
62655,2008,1.0,0.8994380267950337,0,3,90
5125,2016,0.9888888888888889,1.0546253868633777,0,3,90
64891,2000,0.9777777777777777,1.0274630891183507,0,3,90
10035,2011,0.9333333333333333,0.8585328483438437,0,4,90
14489,1999,0.9333333333333333,1.057875759999966,0,4,90
2435,1996,0.9111111111111111,1.2052734730421042,0,4,90
7637,2008,0.9,1.0061607975675648,0,4,90
10983,2003,0.8888888888888888,0.6941884671795144,0,3,90
6097,2003,0.8777777777777778,0.7764479446405789,0,3,90
2154,2001,0.8666666666666667,0.7673096147865086,0,3,90
11818,2007,0.8444444444444444,0.7017011610014705,0,2,90
2710,2020,0.8444444444444444,1.1699525690098866,0,4,90
5568,1994,0.8333333333333334,0.9858550158920685,0,3,90
6104,2019,0.8333333333333334,0.5854029631061693,0,2,90
7620,2006,0.8333333333333334,0.3747658444979307,0,1,90
61513,1996,0.8222222222222222,0.7278995142678767,0,2,90
64356,2010,0.8111111111111111,0.9702825308964377,0,3,90
11456,2007,0.8,0.6033613708385919,0,2,90
12123,2004,0.7888888888888889,0.48562352932565644,0,2,90
2884,2009,0.7888888888888889,0.9179170906287858,0,3,90
2085,1993,0.7888888888888889,0.550677712071031,0,2,90
11060,2017,0.7777777777777778,0.5358554596697953,0,2,90
5439,2002,0.7555555555555555,0.9750956289733568,0,4,90
3278,2001,0.7333333333333333,1.0255171345513574,0,5,90
2817,2009,0.7,0.528937879999983,0,2,90
62897,2000,0.7,0.5497701256081817,0,2,90
3221,1994,0.6777777777777778,0.6149408992846254,0,2,90
10507,2003,0.6666666666666666,0.635998728003816,0,2,90
25880,1997,0.6555555555555556,0.564116314229632,0,2,90
4885,2018,0.6555555555555556,0.6561911051986477,0,2,90
3734,2002,0.6555555555555556,0.564116314229632,0,2,90
14960,2000,0.6555555555555556,0.638838677937915,0,2,90
14565,1997,0.6444444444444445,0.5670961139849919,0,2,90
17130,2013,0.6333333333333333,0.6438996362578828,0,2,90
11300,2011,0.6333333333333333,0.5892291669935859,0,2,90
6104,2004,0.6222222222222222,0.6103559060784894,0,3,90
7906,2018,0.6222222222222222,0.6632873151372431,0,2,90
133768,2015,0.6111111111111112,0.6124998407602534,0,2,90
5735,1993,0.6111111111111112,0.593872162017194,0,2,90
25495,2009,0.5777777777777777,0.5801545276089108,0,2,90
14535,2018,0.5666666666666667,0.4983117565757134,0,1,90
7985,1995,0.5666666666666667,0.5815515860102276,0,2,90
11555,2002,0.5666666666666667,0.6368814469962912,0,2,90
